Tweet,Target,Stance,stance_pred,target_pred
"@3_Card_Monty : I believe the title would be ""First Lord"". Let THAT sink in!! #PJNET #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
"@FrankCraig: @skzdalimit if you're the best your side has to offer, we have nothing to worry about, slick. #SemST",Hillary Clinton,NONE,AGAINST,Hillary Clinton
"What does Ivana, NBC, Univision, Gemini's, and Macy's have in common?  Answer: They all dropped #SemST",Donald Trump,AGAINST,AGAINST,Donald Trump
If the Obama cabinet was on the apprentice who would you fire?  Kerry was the answer. #talkcityclub #SemST,Donald Trump,NONE,NONE,Hillary Clinton
'Hillary-speak' campaign rhetoric is going to be the death of me. @jmarkwalk #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
.@DannyZuker   With ONE speech @realDonaldTrump managed to financially screw himself.  Imagine what he can do for us as POTUS! #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@gerfingerpoken2 @tomgreen1959 Of course he did. Traitors conspire with #traitors #ImpeachObama #SemST,Donald Trump,NONE,NONE,Hillary Clinton
"@HillaryClinton lied about the cost of the gala, she was fined for it, but if it were @GOP they'd be in jail  Unfit for office  #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
RT @Tone_Rowdy: How can this country move on from its racist past when it's leaders won't... #OurLivesMatter #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@kilmeade @briankilmeade Obviously military industrial complex has an interest in sustained conflict War=sales #Libertarian #SemST,Donald Trump,NONE,NONE,Hillary Clinton
We need someine to bring this country back to life! @realDonaldTrump resuscitate America! #SemST,Donald Trump,AGAINST,FAVOR,Donald Trump
@clairecmc @RosieGray is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016 #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Hillary Clinton makes Nixon look like an amateur schoolboy #ClintonCash #ClintonFoundation #Clinton #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@murphymike @blakehounshell @ScottFConroy let's see jebs emails from 2000 when he helped his idiot brother steal the presidency #SemST,Hillary Clinton,AGAINST,AGAINST,Donald Trump
"Either way, @HillaryClinton rises above the media chatter every time. That's one reason why I admire and respect her so much. #SemST",Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
@_Holly_Renee I want to fav this tweet....cause it's hilarious. But I give no support to #HillaryClinton #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
"@ARForHillary @HillaryClinton @HillaryIn2016 So proud of you! Soon, we will show who we really are. Keep up the good work! #SemST",Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Hey guise. Any recommendation for a good taco place in midtown? #Trump #SemST,Donald Trump,NONE,NONE,Donald Trump
"@CidEloisa @DiggingLamb Thank you so much for RTs and FAVs, Eloisa and Thomas!!! #WakeUpAmerica #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
"They blew up the trade centers to cover their destructive trails, and paved the way for more death, war, and mind control. #SemST",Donald Trump,NONE,NONE,Hillary Clinton
Kudos to Donald Trump for telling off NBC. The media HATES the GOP'S & will do ANYTHING to destroy them. #NBC #mediaatfault #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
Obama is Liberalism's false idol. Reject that P.O.S. #VoteOutRino's #BoycottMSNBC #VoteCruz #MichelleObamaIsAMan #SemST,Donald Trump,NONE,NONE,Hillary Clinton
@kimkennedy4 thats why they still have no voting rights. #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Can't wait to get my #YaaasHillary shirt!  @HillaryClinton #SemST,Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"@realDonaldTrump just so you know White people have more of a ""Rapist"" title, than Hispanics. #NotBeingRasist #DoResearch  #SemST",Donald Trump,AGAINST,AGAINST,Donald Trump
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic #SemST,Donald Trump,AGAINST,FAVOR,Donald Trump
"It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary #SemST",Hillary Clinton,FAVOR,FAVOR,Hillary Clinton
"Spitting on clergy.  Burning the American flag.  Shaming American ideology.  It's Obama's America, and @HillaryClinton loves it.   #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Tuesday AM #TrumpDump on horizon. I can see Chris Christie being victim. NBC for sure. Anyone else? #TellingItLikeItIs #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
Imagine @JoeBiden runs for POTUS. Without a doubt a strong & popularly likable candidate against the Clinton. ------- #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
Kind of scares me that there are still thousands of emails that have not been released from Hillary's private emails.  #SemST,Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@POTUS I want you to President for a 3rd term!!! Please make it happen LOL! I'm fine with #SemST,Hillary Clinton,AGAINST,FAVOR,Donald Trump
"@PantanoLaw Thanks for the follow, may God bless you and your family.  #freeallfour #SemST",Hillary Clinton,NONE,NONE,Hillary Clinton
@realDonaldTrump the left should get off your back!  By the LAW anyone that crosses the border illegally is a criminal.  #SemST,Donald Trump,AGAINST,FAVOR,Donald Trump
